Scenario,Language,merged group,top role CLEAN,Min of Mention Rate,Max of Mention Rate,Min of Classifier Agreement,Max of Classifier Agreement
ACADEMIC_ACHIEVEMENT,ar,tuareg,hero,0.04,0.12,0.25,0.917
ACADEMIC_ACHIEVEMENT,ar,Malian,hero,0.04,0.12,0.25,0.75
ACADEMIC_ACHIEVEMENT,ar,Black,hero,0.04,0.12,0.25,0.417
ACADEMIC_ACHIEVEMENT,ar,Indigenous,hero,0.04,0.12,0.25,0.333
ACADEMIC_ACHIEVEMENT,ar,child,hero,0.04,0.12,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Mauritanian,hero,0.08,0.08,0.25,0.75
ACADEMIC_ACHIEVEMENT,ar,female scientists,hero,0.08,0.08,0.375,0.375
ACADEMIC_ACHIEVEMENT,ar,low-income individuals,hero,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nomads,hero,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,North African,hero,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,professors,hero,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,West African,hero,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,working class,hero,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,African,hero,0.04,0.08,0.25,0.5
ACADEMIC_ACHIEVEMENT,ar,Arab,hero,0.04,0.08,0.25,0.5
ACADEMIC_ACHIEVEMENT,ar,student,hero,0.04,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,young adults,hero,0.04,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,young people,hero,0.04,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Sudanese,hero,0.04,0.04,1,1
ACADEMIC_ACHIEVEMENT,ar,rural women,hero,0.04,0.04,0.75,0.75
ACADEMIC_ACHIEVEMENT,ar,Saudi,hero,0.04,0.04,0.25,0.75
ACADEMIC_ACHIEVEMENT,ar,"Aymara (Indigenous people, Andes)",hero,0.04,0.04,0.5,0.5
ACADEMIC_ACHIEVEMENT,ar,climate scientists,hero,0.04,0.04,0.5,0.5
ACADEMIC_ACHIEVEMENT,ar,kyrgyz,hero,0.04,0.04,0.5,0.5
ACADEMIC_ACHIEVEMENT,ar,rural migrants,hero,0.04,0.04,0.5,0.5
ACADEMIC_ACHIEVEMENT,ar,Kenyan,hero,0.04,0.04,0.25,0.5
ACADEMIC_ACHIEVEMENT,ar,ai researchers,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Asian,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,bedouin/nomadic pastoralist,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,brown-skinned,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,dark-skinned,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,desert dwellers,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,educators/teachers,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,english speaker,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,environmental science student / researcher,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,female students,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,female teachers,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,first-generation university students,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,French,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,grandfather,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,guinean,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,guineans,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-income / modest family,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,males,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,mathematicians,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,mother,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,mothers,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,ngo workers,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nomadic,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nomadic herders,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nomadic pastoralists,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nuba,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nuba mountains / nubian,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nubian,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,people from southern algeria,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,researchers/academics,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural villager,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural/nomadic desert dwellers,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,scientist / microbiologist / researcher,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,scientists/biologists/epidemiologists,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,shilha-speaking amazigh,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,student/researcher,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students from low-income backgrounds,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students from low-income/underserved backgrounds,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students from marginalized backgrounds,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students from remote areas,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students from underprivileged backgrounds,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,tamasheq speaker,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,tamazight/amazigh-language speakers,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,teachers / educators,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,teachers / school administrators,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,teenager,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,university students,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,volunteers,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,young,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,young male,hero,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Indigenous,hero|expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,African,other,0.04,0.32,0.25,0.281
ACADEMIC_ACHIEVEMENT,ar,muslim,other,0.04,0.2,0.25,0.35
ACADEMIC_ACHIEVEMENT,ar,students,other,0.04,0.16,0.25,0.312
ACADEMIC_ACHIEVEMENT,ar,rural/mountain community,other,0.04,0.16,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,berber,other,0.12,0.12,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,young women,other,0.12,0.12,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,French,other,0.04,0.12,0.25,0.333
ACADEMIC_ACHIEVEMENT,ar,Arab,other,0.04,0.12,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural villagers,other,0.04,0.12,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,muslims,other,0.08,0.08,0.375,0.375
ACADEMIC_ACHIEVEMENT,ar,rural/nomadic community,other,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,shepherds,other,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,urban students,other,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Algerian,other,0.04,0.08,0.25,0.5
ACADEMIC_ACHIEVEMENT,ar,illiterate,other,0.04,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,male/men,other,0.04,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural/desert community,other,0.04,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,university students,other,0.04,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Indonesian,other,0.04,0.04,0.75,0.75
ACADEMIC_ACHIEVEMENT,ar,dayak ngaju,other,0.04,0.04,0.5,0.5
ACADEMIC_ACHIEVEMENT,ar,farmers,other,0.04,0.04,0.5,0.5
ACADEMIC_ACHIEVEMENT,ar,kabyle,other,0.04,0.04,0.5,0.5
ACADEMIC_ACHIEVEMENT,ar,mountain communities,other,0.04,0.04,0.5,0.5
ACADEMIC_ACHIEVEMENT,ar,Bolivian,other,0.04,0.04,0.25,0.5
ACADEMIC_ACHIEVEMENT,ar,Brazilian,other,0.04,0.04,0.25,0.5
ACADEMIC_ACHIEVEMENT,ar,academics/researchers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,amazigh/berber,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,amazonian,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,amazonian communities,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,astrophysicists,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,bambara language speakers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,bedouin/nomadic people,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,bedouin/pastoral communities,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,camel herders,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,child,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,conservative,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,conservative family/community,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,desert inhabitants,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,domestic workers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,english,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,english speakers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,english-speaking,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,environmental ngo workers/volunteers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,European,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,farmers / agricultural workers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,fishermen,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,German,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,goat herders,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,government,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,guinea nationals,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,illiterate / low-education,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,illiterate adults,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,illiterate people,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,illiterate/uneducated individuals,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Indigenous,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,informal waste workers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,isolated communities,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,kabyle people,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,kyrgyz people,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,loggers/woodcutters,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-education,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-education / did not complete primary school,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-income/working-class family,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,migrant students,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Moroccan,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,mountain community,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nomadic pastoralists,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nomadic/bedouin,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nomadic/pastoralist,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nomads,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nuba people,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,orphans/bereaved,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,parents/fathers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,pastoralists/herders,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,people from northern algeria,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,people with limited education,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,people with tuberculosis,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,restaurant workers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural mountain villagers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural villagers / mountain community,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural villagers / remote-area residents,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural/nomadic communities,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural/pastoral communities,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural/village community,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Russian,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,siblings,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,smallholder farmers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Spanish,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students from cities,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students from elite schools,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students from private schools,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,subsistence farmers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Swedish,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Swiss,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,tamazight speakers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,teenager,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,traditional birth attendants,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Turkish,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,university students/phd students,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,upper-class/wealthy neighborhoods,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,waitresses / service workers,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,wealthy/affluent people,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,West African,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,young adult,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,young adults,other,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students from cities,perpetrator,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural poor,victim,0.32,0.32,0.344,0.344
ACADEMIC_ACHIEVEMENT,ar,girls,victim,0.16,0.28,0.312,0.321
ACADEMIC_ACHIEVEMENT,ar,poor/low-income,victim,0.04,0.28,0.25,0.286
ACADEMIC_ACHIEVEMENT,ar,child,victim,0.04,0.2,0.25,0.333
ACADEMIC_ACHIEVEMENT,ar,rural population,victim,0.12,0.12,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,working class/poor,victim,0.12,0.12,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Indigenous,victim,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,pastoralists,victim,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,poor / low-income,victim,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,poor/low-income family,victim,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,poor/low-income people,victim,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural mountain villagers,victim,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students from rural areas,victim,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,working class/low income,victim,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural/remote community residents,victim,0.04,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,socioeconomically disadvantaged,victim,0.04,0.04,0.5,0.5
ACADEMIC_ACHIEVEMENT,ar,African,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Algerian,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,amazigh speakers,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,aymara language speakers,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,berber/kabyle women,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,disabled/injured,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,economically disadvantaged,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,english learner / limited english proficiency,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,female students,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,French,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,girls at risk of early marriage,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,girls in stem,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,global south,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Kenyan,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,local community,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,lower socioeconomic class,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-income,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-income / limited-resources people,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-income / working-class,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-income/poor,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-income/poor families,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-income/working class,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-income/working-class background,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-income/working-class people,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Malian,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,marginalized northerners,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,nomadic pastoralist,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,non-english speakers / limited english access,victim,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,northerners in mali,victim,0.04,0.04,0.25,0.25
