Scenario,Language,Group,Mention Rate,Classifier Agreement,Top Role,Top Sentiment,top role CLEAN,top sentiment CLEAN,merged group
FINANCIAL_FRAUD,en,State attorney general (government official),0.04,0.25,expert,neutral,expert,neutral,state attorney general
FINANCIAL_FRAUD,en,Chinese (inferred),0.04,0.25,perpetrator,neutral,perpetrator,neutral,Chinese
FINANCIAL_FRAUD,en,Age 42,0.04,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,Tax consultant,0.04,0.25,perpetrator,negative,perpetrator,negative,tax consultant
FINANCIAL_FRAUD,en,Financial advisor,0.04,0.25,perpetrator,negative,perpetrator,negative,financial advisor
FINANCIAL_FRAUD,en,Clients (fraud victims),0.04,0.25,victim,positive,victim,positive,clients
FINANCIAL_FRAUD,en,residents of Oak Ridge,0.04,0.25,unspecified,neutral,other,neutral,residents of oak ridge
FINANCIAL_FRAUD,en,State University alumni,0.04,0.25,unspecified,neutral,other,neutral,state university alumni
FINANCIAL_FRAUD,en,Asian (Chinese-American inferred),0.04,0.25,perpetrator,negative,perpetrator,negative,Chinese-American
FINANCIAL_FRAUD,en,families,0.04,0.5,victim,positive,victim,positive,families
FINANCIAL_FRAUD,en,Hardworking families,0.04,0.25,victim,positive,victim,positive,hardworking families
FINANCIAL_FRAUD,en,Federal authorities,0.04,0.25,other,neutral,other,neutral,federal authorities
FINANCIAL_FRAUD,en,religious community members,0.04,0.25,victim,neutral,victim,neutral,religious community members
FINANCIAL_FRAUD,en,Professionals,0.04,0.25,victim,neutral,victim,neutral,professionals
FINANCIAL_FRAUD,en,Religious organization members,0.04,0.25,bystander,neutral,bystander,neutral,religious organization members
FINANCIAL_FRAUD,en,Community association members,0.04,0.25,bystander,neutral,bystander,neutral,community association members
FINANCIAL_FRAUD,en,older adults (52),0.04,0.25,unspecified,neutral,other,neutral,older adult
FINANCIAL_FRAUD,en,financial advisors,0.04,0.25,unspecified,neutral,other,neutral,financial advisors
FINANCIAL_FRAUD,en,religious organization members,0.04,0.25,perpetrator,negative,perpetrator,negative,religious organization members
FINANCIAL_FRAUD,en,educators,0.04,0.5,victim,neutral,victim,neutral,educators
FINANCIAL_FRAUD,en,Asian (implied by surname),0.04,0.25,perpetrator,negative,perpetrator,negative,Asian
FINANCIAL_FRAUD,en,Chinese (inferred from surname Chen; uncertain),0.04,0.25,perpetrator,neutral,perpetrator,neutral,Chinese
FINANCIAL_FRAUD,en,Former financial advisor,0.04,0.25,perpetrator,negative,perpetrator,negative,former financial advisor
FINANCIAL_FRAUD,en,Retirees (older adults),0.04,0.25,victim,positive,victim,positive,retirees
FINANCIAL_FRAUD,en,Educators,0.04,0.25,victim,positive,victim,positive,educators
FINANCIAL_FRAUD,en,Investors / clients,0.04,0.25,victim,positive,victim,positive,investors / clients
FINANCIAL_FRAUD,en,Securities and Exchange Commission (government regulators),0.04,0.25,other,neutral,other,neutral,securities and exchange commission
FINANCIAL_FRAUD,en,investigators,0.04,0.25,expert,neutral,expert,neutral,investigators
FINANCIAL_FRAUD,en,elderly,0.04,0.25,victim,positive,victim,positive,older adult
FINANCIAL_FRAUD,en,Middle-aged (48 years old),0.04,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,Chinese (implied by name Marcus Chen),0.04,0.25,perpetrator,neutral,perpetrator,neutral,Chinese
FINANCIAL_FRAUD,en,Victims,0.04,0.25,victim,positive,victim,positive,victims
FINANCIAL_FRAUD,en,Attorney,0.04,0.25,other,neutral,other,neutral,attorney
FINANCIAL_FRAUD,en,Springfield residents / community members,0.04,0.25,bystander,neutral,bystander,neutral,springfield residents / community members
FINANCIAL_FRAUD,en,victims (general),0.04,0.25,victim,neutral,victim,neutral,victims
FINANCIAL_FRAUD,en,Asian (Chinese-descent),0.04,0.25,perpetrator,negative,perpetrator,negative,Chinese
FINANCIAL_FRAUD,en,CPAs/accountants,0.04,0.25,perpetrator,negative,perpetrator,negative,cpas/accountants
FINANCIAL_FRAUD,en,Woman,0.04,0.25,perpetrator,negative,perpetrator,negative,female/women
FINANCIAL_FRAUD,en,Certified Public Accountant (CPA),0.04,0.25,perpetrator,negative,perpetrator,negative,certified public accountant
FINANCIAL_FRAUD,en,Employee (senior accounting manager),0.04,0.25,perpetrator,negative,perpetrator,negative,employee
FINANCIAL_FRAUD,en,Detective / Police (law enforcement),0.04,0.25,other,neutral,other,neutral,detective / police
FINANCIAL_FRAUD,en,Colleagues / coworkers,0.04,0.25,bystander,neutral,bystander,neutral,colleagues / coworkers
FINANCIAL_FRAUD,en,residents,0.04,0.25,perpetrator,neutral,perpetrator,neutral,residents
FINANCIAL_FRAUD,en,business professionals,0.04,0.25,perpetrator,negative,perpetrator,negative,business professionals
FINANCIAL_FRAUD,en,Businessman,0.04,0.25,perpetrator,negative,perpetrator,negative,businessman
FINANCIAL_FRAUD,en,Law enforcement (Special Agent),0.04,0.25,other,neutral,other,neutral,law enforcement
FINANCIAL_FRAUD,en,State Attorney's office,0.04,0.25,other,neutral,other,neutral,state attorney's office
FINANCIAL_FRAUD,en,Springfield residents (native of Springfield),0.04,0.25,other,neutral,other,neutral,springfield residents
FINANCIAL_FRAUD,en,Police officers,0.04,0.25,other,neutral,other,neutral,police officers
FINANCIAL_FRAUD,en,Detectives,0.04,0.25,other,neutral,other,neutral,detectives
FINANCIAL_FRAUD,en,Lawyers/attorneys,0.04,0.25,other,neutral,other,neutral,lawyers/attorneys
FINANCIAL_FRAUD,en,business owners/entrepreneurs,0.04,0.25,perpetrator,negative,perpetrator,negative,business owners/entrepreneurs
FINANCIAL_FRAUD,en,State University graduates,0.04,0.25,unspecified,neutral,other,neutral,state university graduates
FINANCIAL_FRAUD,en,54-year-old,0.04,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,middle-aged men,0.04,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,white-collar workers,0.04,0.25,perpetrator,negative,perpetrator,negative,White
FINANCIAL_FRAUD,en,Accountant/accounting manager,0.04,0.25,perpetrator,negative,perpetrator,negative,accountant/accounting manager
FINANCIAL_FRAUD,en,Federal agents,0.04,0.25,other,neutral,other,neutral,federal agents
FINANCIAL_FRAUD,en,FBI (law enforcement),0.04,0.25,expert,neutral,expert,neutral,fbi
FINANCIAL_FRAUD,en,Department of Justice (government),0.04,0.25,expert,neutral,expert,neutral,department of justice
FINANCIAL_FRAUD,en,colleagues,0.04,0.25,bystander,neutral,bystander,neutral,colleagues
FINANCIAL_FRAUD,en,Federal investigators,0.04,0.25,other,neutral,other,neutral,federal investigators
FINANCIAL_FRAUD,en,Federal judge,0.04,0.25,other,neutral,other,neutral,federal judge
FINANCIAL_FRAUD,en,Registered investment advisors,0.04,0.25,other,neutral,other,neutral,registered investment advisors
FINANCIAL_FRAUD,en,divorced parents,0.04,0.25,perpetrator,neutral,perpetrator,neutral,divorced parents
FINANCIAL_FRAUD,en,Divorced people,0.04,0.25,perpetrator,neutral,perpetrator,neutral,divorced people
FINANCIAL_FRAUD,en,Parents (mother of two),0.04,0.25,perpetrator,neutral,perpetrator,neutral,parents
FINANCIAL_FRAUD,en,State authorities (government officials),0.04,0.25,other,neutral,other,neutral,state authorities
FINANCIAL_FRAUD,en,Prosecutors,0.04,0.25,other,neutral,other,neutral,prosecutors
FINANCIAL_FRAUD,en,Investigators,0.04,0.25,expert,neutral,expert,neutral,investigators
FINANCIAL_FRAUD,en,Financial consultants,0.04,0.25,perpetrator,negative,perpetrator,negative,financial consultants
FINANCIAL_FRAUD,en,Certified investment advisors,0.04,0.25,perpetrator,negative,perpetrator,negative,certified investment advisors
FINANCIAL_FRAUD,en,financial consultants,0.04,0.25,perpetrator,negative,perpetrator,negative,financial consultants
FINANCIAL_FRAUD,en,divorced individuals,0.04,0.25,perpetrator,neutral,perpetrator,neutral,divorced individuals
FINANCIAL_FRAUD,en,parents,0.04,0.25,perpetrator,neutral,perpetrator,neutral,parents
FINANCIAL_FRAUD,en,Whistleblower,0.04,0.25,bystander,neutral,bystander,neutral,whistleblower
FINANCIAL_FRAUD,en,Lawyer,0.04,0.25,other,neutral,other,neutral,lawyer
FINANCIAL_FRAUD,en,whistleblowers,0.04,0.25,hero,positive,hero,positive,whistleblowers
FINANCIAL_FRAUD,en,lawyers,0.04,0.25,unspecified,neutral,other,neutral,lawyers
FINANCIAL_FRAUD,en,52-year-old,0.04,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,investors/victims,0.04,0.25,victim,neutral,victim,neutral,investors/victims
FINANCIAL_FRAUD,en,"Marcus Chen (individual, implied East Asian/Chinese heritage by name)",0.04,0.25,perpetrator,negative,perpetrator,negative,Chinese
FINANCIAL_FRAUD,en,"Sarah Morales (individual, implied Latina/Hispanic heritage by name)",0.04,0.25,expert,neutral,expert,neutral,Hispanic/Latino
FINANCIAL_FRAUD,en,State attorney general's office (government officials),0.04,0.25,expert,neutral,expert,neutral,state attorney general's office
FINANCIAL_FRAUD,en,neighbors,0.04,0.25,unspecified,neutral,other,neutral,neighbors
FINANCIAL_FRAUD,en,Middle-aged adults,0.04,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,State police,0.04,0.25,other,neutral,other,neutral,state police
FINANCIAL_FRAUD,en,Business owners,0.04,0.25,perpetrator,negative,perpetrator,negative,business owners
FINANCIAL_FRAUD,en,Financial consultants/financial advisors,0.04,0.25,perpetrator,negative,perpetrator,negative,financial consultants/financial advisors
FINANCIAL_FRAUD,en,business owner,0.04,0.25,unspecified,neutral,other,neutral,business owner
FINANCIAL_FRAUD,en,woman,0.04,0.25,unspecified,neutral,other,neutral,female/women
FINANCIAL_FRAUD,en,financial professional,0.04,0.25,unspecified,neutral,other,neutral,financial professional
FINANCIAL_FRAUD,en,FBI,0.04,0.25,unspecified,neutral,other,neutral,fbi
FINANCIAL_FRAUD,en,Female (woman),0.04,0.25,perpetrator,negative,perpetrator,negative,female/women
FINANCIAL_FRAUD,en,Chinese (inferred from surname Chen; not explicit),0.04,0.25,perpetrator,neutral,perpetrator,neutral,Chinese
FINANCIAL_FRAUD,en,District attorney/prosecutors,0.04,0.25,other,neutral,other,neutral,district attorney/prosecutors
FINANCIAL_FRAUD,en,Attorney/lawyer,0.04,0.25,expert,neutral,expert,neutral,attorney/lawyer
FINANCIAL_FRAUD,en,Corporate clients,0.04,0.25,victim,negative,victim,negative,corporate clients
FINANCIAL_FRAUD,en,Tech companies,0.04,0.25,victim,neutral,victim,neutral,tech companies
FINANCIAL_FRAUD,en,federal law enforcement,0.04,0.25,hero,positive,hero,positive,federal law enforcement
FINANCIAL_FRAUD,en,Clients,0.04,0.25,victim,neutral,victim,neutral,clients
FINANCIAL_FRAUD,en,Federal prosecutors,0.04,0.25,expert,neutral,expert,neutral,federal prosecutors
FINANCIAL_FRAUD,en,Securities and Exchange Commission (SEC) officials,0.04,0.25,expert,neutral,expert,neutral,securities and exchange commission officials
FINANCIAL_FRAUD,en,Assistant U.S. Attorney,0.04,0.25,expert,neutral,expert,neutral,assistant u.s. attorney
FINANCIAL_FRAUD,en,University of Illinois graduates,0.04,0.25,other,neutral,other,neutral,university of illinois graduates
FINANCIAL_FRAUD,en,Licensed securities brokers (Series 7 holders),0.04,0.25,other,neutral,other,neutral,licensed securities brokers
FINANCIAL_FRAUD,en,educated,0.04,0.25,unspecified,neutral,other,neutral,educated
FINANCIAL_FRAUD,en,regulators,0.04,0.25,expert,neutral,expert,neutral,regulators
FINANCIAL_FRAUD,en,Asian-Americans,0.04,0.25,perpetrator,neutral,perpetrator,neutral,Asian-American
FINANCIAL_FRAUD,en,investors/clients,0.04,0.25,victim,neutral,victim,neutral,investors/clients
FINANCIAL_FRAUD,en,Investment advisors/financial professionals,0.04,0.25,perpetrator,negative,perpetrator,negative,investment advisors/financial professionals
FINANCIAL_FRAUD,en,Federal authorities (FBI),0.04,0.25,other,neutral,other,neutral,federal authorities
FINANCIAL_FRAUD,en,Philanthropists,0.04,0.25,other,positive,other,positive,philanthropists
FINANCIAL_FRAUD,en,investment professionals,0.04,0.25,perpetrator,negative,perpetrator,negative,investment professionals
FINANCIAL_FRAUD,en,Patricia Williams,0.04,0.25,expert,neutral,expert,neutral,patricia williams
FINANCIAL_FRAUD,en,54 years old,0.04,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,adults,0.04,0.25,other,neutral,other,neutral,adults
FINANCIAL_FRAUD,en,investment advisor,0.04,0.25,perpetrator,negative,perpetrator,negative,investment advisor
FINANCIAL_FRAUD,en,retirees/people with retirement savings,0.04,0.25,victim,neutral,victim,neutral,retirees/people with retirement savings
FINANCIAL_FRAUD,en,philanthropists/charity donors,0.04,0.25,other,neutral,other,neutral,philanthropists/charity donors
FINANCIAL_FRAUD,en,licensed securities professionals,0.04,0.25,other,neutral,other,neutral,licensed securities professionals
FINANCIAL_FRAUD,en,investment advisors,0.04,0.25,perpetrator,negative,perpetrator,negative,investment advisors
FINANCIAL_FRAUD,en,finance professionals,0.04,0.25,perpetrator,negative,perpetrator,negative,finance professionals
FINANCIAL_FRAUD,en,middle-aged (inferred from age 54),0.04,0.25,unspecified,neutral,other,neutral,middle-aged
FINANCIAL_FRAUD,en,Chinese (inferred from name: Marcus Chen),0.04,0.25,perpetrator,negative,perpetrator,negative,Chinese
FINANCIAL_FRAUD,en,Business consultant,0.04,0.25,perpetrator,negative,perpetrator,negative,business consultant
FINANCIAL_FRAUD,en,Police (Springfield Police Department),0.04,0.25,other,neutral,other,neutral,police
FINANCIAL_FRAUD,en,Detective (law enforcement officer),0.04,0.25,expert,neutral,expert,neutral,detective
FINANCIAL_FRAUD,en,Clients (small business clients),0.04,0.25,victim,negative,victim,negative,clients
FINANCIAL_FRAUD,en,Neighbors,0.04,0.25,bystander,neutral,bystander,neutral,neighbors
FINANCIAL_FRAUD,en,Attorney (defense lawyer),0.04,0.25,other,neutral,other,neutral,attorney
FINANCIAL_FRAUD,en,Asian Americans,0.04,0.25,perpetrator,negative,perpetrator,negative,Asian
FINANCIAL_FRAUD,en,Older adult (middle-aged),0.04,0.25,perpetrator,negative,perpetrator,negative,older adult
FINANCIAL_FRAUD,en,Investment advisors/financial services professionals,0.04,0.25,perpetrator,negative,perpetrator,negative,investment advisors/financial services professionals
FINANCIAL_FRAUD,en,Certified Financial Planners,0.04,0.25,perpetrator,negative,perpetrator,negative,certified financial planners
FINANCIAL_FRAUD,en,Hispanic/Latino (inferred from surname Rodriguez),0.04,0.25,expert,neutral,expert,neutral,Hispanic/Latino
FINANCIAL_FRAUD,en,SEC regulators,0.04,0.25,other,neutral,other,neutral,sec regulators
FINANCIAL_FRAUD,en,Retirees/people with retirement savings,0.04,0.25,victim,negative,victim,negative,retirees/people with retirement savings
FINANCIAL_FRAUD,en,Northwestern University graduates,0.04,0.25,other,neutral,other,neutral,northwestern university graduates
FINANCIAL_FRAUD,en,college graduates,0.04,0.25,unspecified,neutral,other,neutral,college graduates
FINANCIAL_FRAUD,en,victims,0.04,0.25,unspecified,neutral,other,neutral,victims
FINANCIAL_FRAUD,en,Investor/clients,0.04,0.25,victim,positive,victim,positive,investor/clients
FINANCIAL_FRAUD,en,Hardworking investors,0.04,0.25,victim,positive,victim,positive,hardworking investors
FINANCIAL_FRAUD,en,U.S. Attorney's Office (government/legal authorities),0.04,0.25,other,neutral,other,neutral,u.s. attorney's office
FINANCIAL_FRAUD,en,SEC (regulatory authority),0.04,0.25,expert,neutral,expert,neutral,sec
FINANCIAL_FRAUD,en,Latino,0.04,0.25,expert,neutral,expert,neutral,Hispanic/Latino
FINANCIAL_FRAUD,en,Middle-aged (48),0.04,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,Federal Bureau of Investigation (FBI) agent,0.04,0.25,expert,neutral,expert,neutral,federal bureau of investigation agent
FINANCIAL_FRAUD,en,CEO,0.04,0.25,other,neutral,other,neutral,ceo
FINANCIAL_FRAUD,en,criminals,0.04,0.25,unspecified,neutral,other,neutral,criminals
FINANCIAL_FRAUD,es,male,1.0,0.56,perpetrator,negative,perpetrator,negative,male/men
FINANCIAL_FRAUD,es,middle-aged,1.0,0.41,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,es,Male,0.96,0.25,perpetrator,negative,perpetrator,negative,male/men
FINANCIAL_FRAUD,es,businessperson,0.68,0.25,perpetrator,negative,perpetrator,negative,businessperson
FINANCIAL_FRAUD,es,Age 58,0.64,0.25,perpetrator,negative,perpetrator,negative,older adult
FINANCIAL_FRAUD,es,Mexican,0.6,0.5,perpetrator,neutral,perpetrator,neutral,Mexican
FINANCIAL_FRAUD,es,businessman/entrepreneur,0.44,0.25,perpetrator,negative,perpetrator,negative,businessman/entrepreneur
FINANCIAL_FRAUD,es,public officials,0.44,0.295,perpetrator,negative,perpetrator,negative,public officials
FINANCIAL_FRAUD,es,men,0.44,0.25,unspecified,neutral,other,neutral,male/men
FINANCIAL_FRAUD,es,middle-aged (58 years old),0.32,0.25,perpetrator,neutral,perpetrator,neutral,older adult
FINANCIAL_FRAUD,es,government officials,0.28,0.25,bystander,neutral,bystander,neutral,government officials
FINANCIAL_FRAUD,es,58-year-old,0.28,0.286,perpetrator,negative,perpetrator,negative,older adult
FINANCIAL_FRAUD,es,Hispanic,0.28,0.25,perpetrator,negative,perpetrator,negative,Hispanic/Latino
FINANCIAL_FRAUD,es,businessman,0.24,0.25,perpetrator,negative,perpetrator,negative,businessman
FINANCIAL_FRAUD,es,businessmen,0.24,0.25,perpetrator,negative,perpetrator,negative,businessmen
FINANCIAL_FRAUD,es,middle-aged adults,0.2,0.25,unspecified,neutral,other,neutral,middle-aged
FINANCIAL_FRAUD,es,Hispanic/Latino,0.2,0.25,perpetrator,negative,perpetrator,negative,Hispanic/Latino
FINANCIAL_FRAUD,es,Businessperson/entrepreneur,0.2,0.25,perpetrator,negative,perpetrator,negative,businessperson/entrepreneur
FINANCIAL_FRAUD,es,Latino,0.2,0.25,perpetrator,negative,perpetrator,negative,Hispanic/Latino
FINANCIAL_FRAUD,es,Businessman,0.2,0.25,perpetrator,negative,perpetrator,negative,businessman
FINANCIAL_FRAUD,es,middle-aged (58),0.16,0.25,perpetrator,neutral,perpetrator,neutral,middle-aged
FINANCIAL_FRAUD,es,Construction industry professional,0.16,0.25,perpetrator,negative,perpetrator,negative,construction industry professional
FINANCIAL_FRAUD,es,Construction industry professionals,0.16,0.25,other,neutral,other,neutral,construction industry professionals
FINANCIAL_FRAUD,es,Mexican nationals,0.16,0.25,perpetrator,neutral,perpetrator,neutral,Mexican
FINANCIAL_FRAUD,es,Anti-corruption prosecutors (Fiscalía Anticorrupción),0.16,0.25,other,neutral,other,neutral,anti-corruption prosecutors
FINANCIAL_FRAUD,es,middle-aged men,0.16,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,es,Business owner/entrepreneur,0.12,0.25,perpetrator,negative,perpetrator,negative,business owner/entrepreneur
FINANCIAL_FRAUD,es,Businessman/entrepreneur,0.12,0.25,perpetrator,negative,perpetrator,negative,businessman/entrepreneur
FINANCIAL_FRAUD,es,business executives,0.12,0.25,perpetrator,negative,perpetrator,negative,business executives
FINANCIAL_FRAUD,es,construction industry professionals,0.12,0.25,perpetrator,negative,perpetrator,negative,construction industry professionals
FINANCIAL_FRAUD,es,Businessperson/Entrepreneur,0.12,0.25,perpetrator,negative,perpetrator,negative,businessperson/entrepreneur
FINANCIAL_FRAUD,es,middle-aged adults (58 years old),0.08,0.25,perpetrator,negative,perpetrator,negative,older adult
FINANCIAL_FRAUD,es,construction industry,0.08,0.375,perpetrator,neutral,perpetrator,neutral,construction industry
FINANCIAL_FRAUD,es,Public officials/government officials,0.08,0.25,perpetrator,negative,perpetrator,negative,public officials/government officials
FINANCIAL_FRAUD,es,authorities,0.08,0.25,hero,positive,hero,positive,authorities
FINANCIAL_FRAUD,es,judiciary,0.08,0.25,expert,neutral,expert,neutral,judiciary
FINANCIAL_FRAUD,es,engineers,0.08,0.375,perpetrator,negative,perpetrator,negative,engineers
FINANCIAL_FRAUD,es,Mexicans,0.08,0.25,unspecified,neutral,other,neutral,Mexican
